mpg,displacement
18.0,307.0
15.0,350.0
18.0,318.0
16.0,304.0
17.0,302.0
15.0,429.0
14.0,454.0
14.0,440.0
14.0,455.0
15.0,390.0
15.0,383.0
14.0,340.0
15.0,400.0
14.0,455.0
22.0,198.0
18.0,199.0
21.0,200.0
26.0,97.0
25.0,110.0
24.0,107.0
25.0,104.0
21.0,199.0
10.0,307.0
11.0,318.0
9.0,304.0
27.0,97.0
28.0,140.0
25.0,113.0
16.0,225.0
17.0,250.0
19.0,250.0
14.0,350.0
14.0,400.0
14.0,351.0
14.0,318.0
12.0,383.0
13.0,400.0
13.0,400.0
18.0,258.0
22.0,140.0
19.0,250.0
18.0,250.0
23.0,122.0
28.0,116.0
30.0,79.0
30.0,88.0
31.0,71.0
35.0,72.0
27.0,97.0
26.0,91.0
24.0,113.0
25.0,97.5
23.0,97.0
20.0,140.0
21.0,122.0
15.0,318.0
14.0,351.0
17.0,304.0
13.0,350.0
12.0,350.0
13.0,400.0
19.0,70.0
15.0,304.0
13.0,307.0
13.0,302.0
14.0,318.0
18.0,121.0
22.0,121.0
21.0,120.0
26.0,96.0
22.0,122.0
28.0,97.0
23.0,120.0
28.0,98.0
27.0,97.0
14.0,304.0
13.0,350.0
14.0,302.0
15.0,318.0
12.0,429.0
13.0,400.0
14.0,318.0
13.0,440.0
12.0,455.0
18.0,225.0
16.0,250.0
18.0,232.0
18.0,250.0
23.0,198.0
26.0,97.0
12.0,400.0
12.0,350.0
18.0,232.0
20.0,97.0
21.0,140.0
18.0,70.0
19.0,122.0
21.0,155.0
26.0,98.0
16.0,400.0
29.0,68.0
24.0,116.0
20.0,114.0
19.0,121.0
15.0,318.0
20.0,156.0
11.0,350.0
20.0,198.0
19.0,232.0
15.0,250.0
31.0,79.0
32.0,71.0
25.0,140.0
16.0,250.0
16.0,258.0
18.0,225.0
16.0,302.0
14.0,302.0
14.0,304.0
29.0,98.0
26.0,79.0
26.0,97.0
31.0,76.0
32.0,83.0
28.0,90.0
26.0,116.0
24.0,120.0
26.0,108.0
31.0,79.0
19.0,225.0
18.0,250.0
15.0,250.0
16.0,400.0
15.0,350.0
16.0,318.0
14.0,351.0
16.0,250.0
15.0,258.0
18.0,225.0
13.0,302.0
29.0,97.0
23.0,140.0
20.0,232.0
24.0,134.0
25.0,90.0
24.0,119.0
18.0,171.0
29.0,90.0
19.0,232.0
23.0,115.0
23.0,120.0
22.0,121.0
25.0,121.0
33.0,91.0
28.0,107.0
25.0,116.0
25.0,140.0
26.0,98.0
17.5,305.0
16.0,318.0
15.5,304.0
14.5,351.0
22.0,225.0
22.0,250.0
24.0,200.0
22.5,232.0
24.5,98.0
29.0,90.0
33.0,91.0
20.0,225.0
18.5,250.0
17.5,258.0
29.5,97.0
32.0,85.0
28.0,97.0
26.5,140.0
20.0,130.0
13.0,318.0
16.5,168.0
16.5,350.0
13.0,350.0
13.0,318.0
31.5,98.0
30.0,111.0
36.0,79.0
25.5,122.0
33.5,85.0
17.5,305.0
17.0,260.0
15.5,318.0
15.0,302.0
17.5,250.0
19.0,225.0
15.5,350.0
15.5,400.0
16.0,351.0
29.0,97.0
24.5,151.0
26.0,97.0
25.5,140.0
30.5,98.0
30.5,97.0
22.0,146.0
21.5,80.0
43.1,90.0
32.8,78.0
39.4,85.0
36.1,91.0
19.9,260.0
19.4,318.0
20.2,302.0
19.2,231.0
20.5,200.0
20.2,200.0
25.1,140.0
20.5,225.0
19.4,232.0
20.8,200.0
18.6,225.0
18.1,258.0
19.2,305.0
17.7,231.0
18.1,302.0
17.5,318.0
30.0,98.0
27.2,119.0
30.9,105.0
23.8,151.0
23.9,119.0
20.3,131.0
17.0,163.0
31.5,89.0
29.5,98.0
21.5,231.0
19.8,200.0
22.3,140.0
20.2,232.0
20.6,225.0
16.5,351.0
18.2,318.0
16.9,350.0
15.5,351.0
19.2,267.0
31.9,89.0
34.1,86.0
27.4,121.0
25.4,183.0
23.0,350.0
27.2,141.0
23.9,260.0
34.2,105.0
31.8,85.0
37.3,91.0
28.4,151.0
28.8,173.0
26.8,173.0
33.5,151.0
38.1,89.0
32.1,98.0
37.2,86.0
28.0,151.0
26.4,140.0
24.3,151.0
34.3,97.0
29.8,134.0
37.0,119.0
32.2,108.0
46.6,86.0
27.9,156.0
40.8,85.0
36.4,121.0
30.0,146.0
44.6,91.0
33.8,97.0
29.8,89.0
35.0,122.0
32.4,107.0
27.2,135.0
26.6,151.0
25.8,156.0
23.5,173.0
30.0,135.0
39.1,79.0
39.0,86.0
35.1,81.0
37.0,85.0
34.1,91.0
34.7,105.0
29.9,98.0
33.0,105.0
33.7,107.0
32.4,108.0
32.9,119.0
28.1,141.0
30.7,145.0
24.2,146.0
22.4,231.0
26.6,350.0
20.2,200.0
17.6,225.0
28.0,112.0
27.0,112.0
34.0,112.0
29.0,135.0
24.0,140.0
36.0,105.0
38.0,105.0
36.0,120.0
34.0,108.0
38.0,91.0
32.0,91.0
25.0,181.0
38.0,262.0
26.0,156.0
22.0,232.0
32.0,144.0
36.0,135.0
44.0,97.0
32.0,135.0
28.0,120.0
31.0,119.0
